Dataset Name,Website Link,Paper Link,Year,Task,Event Types,Event/Video Count,Instantiation,Genre/Video purpose,Text/Graphics,Modalities,Annotations (+ Event structure),Motivation/Contribution (excerpt from paper)
VaTeX,https://eric-xw.github.io/vatex-website/download.html,https://arxiv.org/pdf/1904.03493.pdf,2020,Captioning,Human-focused actions,35K videos,Unknown,Internet videos,F,Video,Multilingual video captions,"Compared to the widely-used MSRVTT dataset [66], VATEX is multilingual, larger, linguistically complex, and more diverse in terms of both video and natural language descriptions. We also introduce two tasks for video-and-language research based on VATEX"
VIOLIN,https://github.com/jimmy646/violin,https://arxiv.org/pdf/2003.11618.pdf,2020,Inference,Social/complex narrative events,"95,322 video-hypothesis pairs from 15,887 video clips",Scripted,"TV shows, movie clips",F,Video,Video entailment pairs,"We introduce a new task, Video-and-Language Inference, for joint multimodal understanding of video and text. Given a video clip with aligned subtitles as premise, paired with a natural language hypothesis based on the video content, a model needs to infer whether the hypothesis is entailed or contradicted by the given video clip"
VITT,https://github.com/google-research-datasets/Video-Timeline-Tags-ViTT,https://arxiv.org/pdf/2011.11760.pdf,2020,Captioning,"Instructional steps, especially cooking related","8,169 videos",Scripted,YouTube 8M subset,F,Video,"Video captions, temporal intervals","we construct and release a new dense video captioning dataset, Video Timeline Tags (ViTT), featuring a variety of instructional videos together with time-stamped annotations."
VLEP,https://github.com/jayleicn/VideoLanguageFuturePred,https://arxiv.org/pdf/2010.07999.pdf,2020,Prediction,Commonsense future narrative events,28K+ videos,Both,TV shows and vlogs,F,Video,"Future event predictions, rationales","Given a video with aligned dialogue, people can often infer what is more likely to happen next.  In this work, we explore whether AI models are able to learn to make such multimodal commonsense nextevent predictions. To support research in this direction, we collect a new dataset, named Video-and-Language Event Prediction (VLEP), with 28,726 future event prediction examples (along with their rationales) from 10,234 diverse TV Show and YouTube Lifestyle Vlog video clips."
AGQA,https://cs.stanford.edu/people/ranjaykrishna/agqa/,https://arxiv.org/pdf/2103.16002.pdf,2021,QA,daily indoors activities,192M unbalanced question answer pairs for 9.6K videos,Scripted,Dataset content,F,Video,"Spatio-temporal scene graphs, QA pairs","We present Action Genome Question Answering (AGQA), a new benchmark for compositional spatio-temporal reasoning. AGQA contains 192M unbalanced question answer pairs for 9.6K videos. We also provide a balanced subset of 3.9M question answer pairs, 3 orders of magnitude larger than existing benchmarks, that minimizes bias by balancing the answer distributions and types of question structures"
Ego4D,https://ego4d-data.org/,https://arxiv.org/abs/2110.07058,2021,Multiple tasks,Daily life content,"931 unique camera wearers, 3,670 hours of video, 14 scenarios make up 70% of data (long-tailed)",Natural,Dataset content,F,"Video, 3D meshes of the environment, eye gaze, stereo","Narration, QA pairs, temporal annotations, action labels, bounding boxes, speaker labels, semantic action/role labels","We introduce Ego4D, a massive-scale egocentric video dataset and benchmark suite. It offers 3,670 hours of dailylife activity video spanning hundreds of scenarios (household, outdoor, workplace, leisure, etc.) captured by 931 unique camera wearers from 74 worldwide locations and 9 different countries."
HACS,http://hacs.csail.mit.edu/,https://arxiv.org/abs/1712.09374,2021,Action classification and localization,Daily human activities,"1.55M clip annotations, 504K videos, 200 action classes",Unknown,Internet videos,F,Video,"Class labels, temporal intervals",This paper presents a new large-scale dataset for recognition and temporal localization of human actions collected from Web videos. We refer to it as HACS (Human Action Clips and Segments).
Homage,https://homeactiongenome.org/,https://arxiv.org/pdf/2105.05226.pdf,2021,Hierarchical Action Recognition,indoor daily activities,"70 activities, 453 actions, 30 hours of video",Scripted,Multi-view dataset content,F,Video,"Video-level activity labels, temporally localized atomic activity labels, spatio-temporal scene-graph labels","Existing research on action recognition treats activities as monolithic events occurring in videos. Recently, the benefits of formulating actions as a combination of atomicactions have shown promise in improving action understanding with the emergence of datasets containing such annotations, allowing us to learn representations capturing this information. However, there remains a lack of studies that extend action composition and leverage multiple viewpoints and multiple modalities of data for representation learning. To promote research in this direction, we introduce Home Action Genome (HOMAGE): a multi-view action dataset with multiple modalities and view-points supplemented with hierarchical activity and atomic action labels together with dense scene composition labels"
MOMA,https://moma.stanford.edu/#/publication,https://proceedings.neurips.cc/paper/2021/file/95688ba636a4720a85b3634acfec8cdd-Paper.pdf,2021,Scene Parsing,Events and sub events from 17 hierarchical activity classes,"17 activity categories, 67 sub-activities, 52 atomic categories, 373 videos",Unknown,Internet videos,F,Video,"Four-level hierarchy action labels, entity labels, entity relationship labels","Involving multiple entities (actors and objects), we argue that traditional pair-wise relationships, often used in scene or action graphs, do not appropriately represent the dynamics between them. Hence, we introduce Action Hypergraph, a new representation of spatial-temporal graphs containing hyperedges (i.e., edges with higher-order relationships)."
MTVR,https://github.com/jayleicn/mTVRetrieval,https://arxiv.org/pdf/2108.00061.pdf,2021,Retrieval,"Events pertaining to TV visual content, TV audio content, and both",21.8K videos,Scripted,TV shows,F,Video,TVR annotations + multilingual queries and transcripts,"Compared to existing moment retrieval datasets, MTVR is multilingual, larger, and comes with diverse annotations."
Multi-HowTo100M,https://github.com/berniebear/Multi-HT100M,https://arxiv.org/pdf/2103.08849.pdf,2021,Retrieval,Instructional content,1.1M videos,Scripted,Instructional videos,F,Video,"Multilingual transcripts, temporal intervals","Under a zero-shot setting, we empirically demonstrate that performance degrades significantly when we query the multilingual text-video model with non-English sentences. To address this problem, we introduce a multilingual multimodal pre-training strategy, and collect a new multilingual instructional video dataset (MultiHowTo100M) for pre-training."
Multi-MomentsInTime,http://moments.csail.mit.edu/,https://arxiv.org/pdf/1911.00232.pdf,2021,"Action recognition, captioning",Short events (3s) from verb databases,"2.01 million labels for 1.02 million videos, 292 action classes",Unknown,Internet videos,F,Video,Class labels,"However, most large-scale datasets built to train models for action recognition in video only provide a single label per video. Consequently, models can be incorrectly penalized for classifying actions that exist in the videos but are not explicitly labeled and do not learn the full spectrum of information present in each video in training. Towards this goal, we present the Multi-Moments in Time dataset (M-MiT) which includes over two million action labels for over one million three second videos. This multi-label dataset introduces novel challenges on how to train and analyze models for multi-action detection."
MUSES,https://songbai.site/muses/,https://openaccess.thecvf.com/content/CVPR2021/html/Liu_Multi-Shot_Temporal_Event_Localization_A_Benchmark_CVPR_2021_paper.html,2021,Action recognition,25 categories involving social relations and daily life,"31,477 event instances for a total of 716 video hours",Scripted,Dramas,F,Video,"Class labels, temporal intervals","In this paper, we propose a new and challenging task called multi-shot temporal event localization, and accordingly, collect a large-scale dataset called MUlti-Shot EventS (MUSES). MUSES has 31,477 event instances for a total of 716 video hours"
NEXT-QA,https://doc-doc.github.io/docs/nextqa.html,https://arxiv.org/pdf/2105.08276.pdf,2021,QA,Daily life events,5440 videos and 52K QA pairs,Natural,Internet videos,F,Video,Multiple choice questions,"We introduce NExT-QA, a rigorously designed video question answering (VideoQA) benchmark to advance video understanding from describing to explaining the temporal actions"
QuerYD,https://www.robots.ox.ac.uk/~vgg/data/queryd/,https://arxiv.org/pdf/2011.11071.pdf,2021,"Retrieval, localization","Varied real + staged content including lectures, cartoons, and daily life","31K descriptions, 207 hrs of video",Both,Internet videos,T,Video,"Audio description of video content, temporal intervals","We introduce QuerYD, a new large-scale dataset for retrieval and event localisation in video. A unique feature of our dataset is the availability of two audio tracks for each video: the original audio, and a high-quality spoken description of the visual content"
RUDDER,https://rudder-2021.github.io/,https://arxiv.org/pdf/2103.05457.pdf,2021,Retrieval,Instructional steps,"492(to be updated) videos, with an average length of 80 seconds and around 7 sentences describing every video",Scripted,Instructional videos for making toys,F,Video,Multilingual transcripts,"we introduce Rudder - a multilingual video-text retrieval dataset that includes audio and textual captions in Marathi, Hindi, Tamil, Kannada, Malayalam and Telugu. Furthermore, we propose to compensate for data scarcity by using domain knowledge to augment supervision."
Spoken Moments,http://moments.csail.mit.edu/spoken.html,https://openaccess.thecvf.com/content/CVPR2021/html/Monfort_Spoken_Moments_Learning_Joint_Audio-Visual_Representations_From_Video_Descriptions_CVPR_2021_paper.html,2021,Captioning,Short events (3s) from verb databases,500K videos,Unknown,Internet videos,F,Video,Spoken video captions,"Existing caption datasets for video understanding are either small in scale or restricted to a specific domain. To address this, we present the Spoken Moments (S-MiT) dataset of 500k spoken captions each attributed to a unique short video depicting a broad range of different events. We collect our descriptions using audio recordings to ensure that they remain as natural and concise as possible while allowing us to scale the size of a large classification dataset"
STAR,https://bobbywu.com/STAR/,https://datasets-benchmarks-proceedings.neurips.cc/paper/2021/file/5ef059938ba799aaa845e1c2e8a762bd-Paper-round2.pdf,2021,QA,Human actions and interactions,"22K videos, 60K questions, 140K situation graphs,  111 action predicates, 28 objects, and 24 relationships",Natural,"""Human activity videos""",F,Video,"Video hypergraphs, QA pairs",". This paper introduces a new benchmark that evaluates the situated reasoning ability via situation abstraction and logic-grounded question answering for real-world videos, called Situated Reasoning in Real-World Videos (STAR)."
VALUE,https://value-benchmark.github.io/,https://datasets-benchmarks-proceedings.neurips.cc/paper/2021/file/a97da629b098b75c294dffdc3e463904-Paper-round1.pdf,2021,Multiple tasks,Wide range of events from multiple existing datasets,"TVR [35], How2R [36], TVQA [32], How2QA [36], VIOLIN [40], VLEP [34] and TVC, and youCook2, and VATEX",Both,Large collection of other datasets,F,Video,Multiple annotation types dependent on sub-dataset,"a truly useful VidL system is expected to be easily generalizable to diverse tasks, domains, and datasets. To facilitate the evaluation of such systems, we introduce Video-And-Language Understanding Evaluation (VALUE) benchmark, an assemblage of 11 VidL datasets over 3 popular tasks: (i) text-to-video retrieval; (ii) video question answering; and (iii) video captioning."
VideoLT,https://videolt.github.io/,https://arxiv.org/pdf/2105.02668.pdf,2021,Video Classification,"Animal, Art, Beauty and Fashion, Cooking, DIY, Education and Tech, Everyday life, Housework, Leisure and Tricks, Music, Nature, Sports and Travel (long tailed event distribution)","1,004 classes, 256,218 videos",Unknown,Internet videos,F,Video,Class labels,"Label distributions in real-world are oftentimes longtailed and imbalanced, resulting in biased models towards dominant labels. While long-tailed recognition has been extensively studied for image classification tasks, limited effort has been made for the video domain"
VidSitu,https://vidsitu.org/,https://arxiv.org/abs/2104.00990,2021,Scene Parsing,2s events from PropBank,"3K movies, 29K clips, 145K events",Scripted,Movies,F,Video,"Event labels, semantic role labels, event relationships, temporal intervals, entity coreferences","We propose a new framework for understanding and representing related salient events in a video using visual semantic role labeling. We represent videos as a set of related events, wherein each event consists of a verb and multiple entities that fulfill various roles relevant to that event"
VM2E2,_,https://blender.cs.illinois.edu/paper/m2e2video.pdf,2021,Scene Parsing,LDC event templates,860 video-article pairs,Both,News footage,T,"Video, text articles","Event types, temporal intervals, event coreference links, argument roles","we propose the first approach to jointly extract events from video and text articles. We also construct and will publicly release a new benchmark of video-article pairs, consisting of 860 video-article pairs with extensive annotations for evaluating methods on this task. "
3MASSIV,https://github.com/ShareChatAI/3MASSIV,https://arxiv.org/pdf/2203.14456.pdf,2022,Video Classification,Short social media video events,50k short videos (20 seconds average duration) and 100K unlabeled videos in 11 different languages,Both,Social media videos,F,Video,"Class labels, emotion labels, audio type labels, video type labels, language labels","We present 3MASSIV, a multilingual, multimodal and multi-aspect, expertly-annotated dataset of diverse short videos extracted from short-video social media platform - Moj."
Animal Kingdom,https://sutdcv.github.io/Animal-Kingdom/,https://openaccess.thecvf.com/content/CVPR2022/html/Ng_Animal_Kingdom_A_Large_and_Diverse_Dataset_for_Animal_Behavior_CVPR_2022_paper.html,2022,"Action recognition, localization",Diverse multi-label animal activities,30K video sequences,Unknown,Animal behavior,F,Video,"Action and behavior labels, temporal intervals, pose estimation frames","existing animal behavior datasets have limitations in multiple aspects, including limited numbers of animal classes, data samples and provided tasks, and also limited variations in environmental conditions and viewpoints. To address these limitations, we create a large and diverse dataset, Animal Kingdom, that provides multiple annotated tasks to enable a more thorough understanding of natural animal behaviors."
Assembly101,https://assembly-101.github.io/,https://openaccess.thecvf.com/content/CVPR2022/html/Sener_Assembly101_A_Large-Scale_Multi-View_Video_Dataset_for_Understanding_Procedural_Activities_CVPR_2022_paper.html,2022,"Action recognition, localization",Fine- and coarse-grained assembly actions,"4321 videos of people assembling and disassembling 101 ""take-apart"" toy vehicles",Scripted,Dataset content,F,Video,"Coarse- and fine-grained action segments, 3D hand poses","Assembly101 is a new procedural activity dataset featuring 4321 videos of people assembling and disassembling 101 “take-apart” toy vehicles. Assembly101 is the first multi-view action dataset, with simultaneous static (8) and egocentric (4) recordings."
HD-VILA-100M,https://github.com/microsoft/XPretrain/blob/main/hd-vila-100m/README.md,https://arxiv.org/pdf/2111.10337.pdf,2022,Multiple tasks,Random internet content,"3.3M videos, 15 categories",Unknown,Internet videos,F,Video,Video captions,"we propose a novel High-resolution and Diversified VIdeo-LAnguage pre-training model (HDVILA) for many visual tasks. In particular, we collect a large dataset with two distinct properties: 1) the first highresolution dataset including 371.5k hours of 720p videos, and 2) the most diversified dataset covering 15 popular YouTube categories"
How-2,https://github.com/srvk/how2-dataset,https://ieeexplore.ieee.org/document/9747320,2022,Captioning,Instructional content,"80,000 instructional videos",Scripted,Instructional videos,F,Video,"Transcripts, translations, video summaries","In this work, we introduce a single model optimized end-to-end for speech summarization. We apply the restricted self-attention technique from text-based models to speech models to address the memory and compute constraints. We demonstrate that the proposed model learns to directly summarize speech for the How-2 corpus of instructional videos."
MAD,https://github.com/Soldelli/MAD,https://arxiv.org/pdf/2112.00431.pdf,2022,"Localization, captioning",General movie actions,"650 movies, 1.2K clips",Scripted,Movies,F,Video,"Audio descriptions, temporal intervals","we present MAD (Movie Audio Descriptions), a novel benchmark that departs from the paradigm of augmenting existing video datasets with text annotations and focuses on crawling and aligning available audio descriptions of mainstream movies."
VideoCC3M,https://github.com/google-research-datasets/videoCC-data?tab=readme-ov-file,https://arxiv.org/pdf/2204.00679.pdf,2022,Retrieval,General internet video categories,"10.3M clip-text pairs, 6.3M video clips, 970K unique captions",Unknown,Internet videos,F,Video,Video captions,"we propose a new video mining pipeline which involves transferring captions from image captioning datasets to video clips with no additional manual effort. Using this pipeline, we create a new largescale, weakly labelled audio-video captioning dataset consisting of millions of paired clips and captions."
AIDA,https://catalog.ldc.upenn.edu/LDC2023T11,_,2023,Scene Parsing,Current events,291 videos,Both,Internet news videos,T,"Video, text articles, images",Event-relevant labels: Event slots and links,"To develop a multi-hypothesis semantic engine to generate explicit alternative interpretations of events, situations and trends from a variety of unstructured sources."
ChinaOpen,https://ruc-aimc-lab.github.io/ChinaOpen/,https://arxiv.org/pdf/2305.05880.pdf,2023,Captioning/Retrieval,Random internet content,50k videos,Unknown,Internet videos,F,Video,"Multilingual video titles, video tags","While the state-of-the-art multimodal learning networks have shown impressive performance in automated video annotation and cross-modal video retrieval, their training and evaluation are primarily conducted on YouTube videos with English text. Their effectiveness on Chinese data remains to be verified. In order to support multimodal learning in the new context, we construct ChinaOpen-50k, a webly annotated training set of 50k Bilibili videos associated with user-generated titles and tags"
EgoSchema,https://egoschema.github.io/,https://arxiv.org/abs/2308.09126,2023,QA,Daily life,"5000 human curated multiple choice question answer pairs, spanning over 250 hours of real video data",Natural,Multi-perspective dataset content,F,Video,Ego4D annotations + QA pairs,"We introduce EgoSchema, a very long-form video question-answering dataset, and benchmark to evaluate long video understanding capabilities of modern vision and language systems."
EmoMV,https://zenodo.org/records/7011072,https://www.sciencedirect.com/science/article/pii/S1566253522001725,2023,Emotion recognition,Emotions,4914 music video segments,Scripted,Music videos,F,Video,Class labels,"Studies in affective audio–visual correspondence learning require ground-truth data to train, validate, and test models. The number of available datasets together with benchmarks, however, is still limited. In this paper, we create a collection of three datasets (called EmoMV) for affective correspondence learning between music and video modalities."
IntentQA,https://github.com/JoseponLee/IntentQA,https://openaccess.thecvf.com/content/ICCV2023/papers/Li_IntentQA_Context-aware_Video_Intent_Reasoning_ICCV_2023_paper.pdf,2023,QA,Daily life events,"4, 303 videos, 16, 297 QA pairs, 624 actions, 193 verbs, 162 action IDs",Natural,Internet videos,F,Video,"QA pairs, action labels","In this paper, we propose a novel task IntentQA, a special VideoQA task focusing on video intent reasoning, which has become increasingly important for AI with its advantages in equipping AI agents with the capability of reasoning beyond mere recognition in daily tasks."
InternVid,https://github.com/OpenGVLab/InternVideo/tree/main/Data/InternVid,https://arxiv.org/abs/2307.06942,2023,Multiple tasks,General internet video categories,18 million video clips,Unknown,Internet videos,F,Video,"Coarse- and fine-grained captions, temporal intervals","This paper introduces InternVid, a large-scale video-centric multimodal dataset that enables learning powerful and transferable video-text representations for multimodal understanding and generation. The InternVid dataset contains over 7 million videos lasting nearly 760K hours, yielding 234M video clips accompanied by detailed descriptions of total 4.1B words. Our core contribution is to develop a scalable approach to autonomously build a high-quality video-text dataset with large language models (LLM), thereby showcasing its efficacy in learning video-language representation at scale."
Marine Video Kit,https://mvk.hkustvgd.com/,https://link.springer.com/chapter/10.1007/978-3-031-27077-2_42,2023,Retrieval,Basic marine organism events,1374 videos,Natural,Underwater footage,F,Video,"Video metadata, video captions","Effective analysis of unusual domain specific video collections represents an important practical problem, where state-of-the-art general purpose models still face limitations. we focus on single-shot videos taken from moving cameras in underwater environments, which constitute a nontrivial challenge for research purposes. The first shard of a new Marine Video Kit dataset is presented to serve for video retrieval and other computer vision challenges."
Multi-YouCook2,https://github.com/roudimit/c2kd,https://arxiv.org/pdf/2210.03625.pdf,2023,"Hierarchical localization, captioning",Cooking steps,12K+ videos,Natural,Internet cooking videos,F,Video,YouCook2 annotations + multilingual captions,"We introduce a new multilingual video dataset, Multi-YouCook2, by translating the English captions in the YouCook2 video dataset to 8 other languages"
MultiHiEve,_,https://arxiv.org/pdf/2206.07207.pdf,2023,Scene Parsing,Current event-related sub-events,100K videos,Both,Internet news videos,T,"Video, text article","Temporal intervals, event labels, event relationships","In this paper, we propose the task of extracting event hierarchies from multimodal (video and text) data to capture how the same event manifests itself in different modalities at different semantic levels. This reveals the structure of events and is critical to understanding them. To support research on this task, we introduce the Multimodal Hierarchical Events (Multi-HiEve) dataset"
MultiVENT,https://katesanders9.github.io/multiVENT-dataset/,https://arxiv.org/abs/2307.03153,2023,Retrieval,Current events,"2,396 videos and corresponding text descriptions covering 260 current events",Both,News footage,T,"Video, text articles","Multilingual video captions, class labels","existing news video datasets focus on traditional news broadcasts produced for English-speaking audiences. We address this limitation by constructing MultiVENT, a dataset of multilingual, event-centric videos grounded in text documents across five target languages. MultiVENT includes both news broadcast videos and non-professional event footage"
NewsNet,https://github.com/NewsNet-Benchmark/NewsNet,https://openaccess.thecvf.com/content/CVPR2023/html/Wu_NewsNet_A_Novel_Dataset_for_Hierarchical_Temporal_Segmentation_CVPR_2023_paper.html,2023,Hierarchical action recognition,Hierarchical news story events,1K videos,Both,News footage,T,"Video, text data","Four-granularity temporal intervals, class labels","we present two abstractive levels of temporal segmentations and study their hierarchy to the existing fine-grained levels. Accordingly, we collect NewsNet, the largest news video dataset consisting of 1,000 videos in over 900 hours, associated with several tasks for hierarchical temporal video segmentation."
NewsVideoQA,https://github.com/soumyasj/NewsVideoQA,https://arxiv.org/abs/2211.05588,2023,QA,News-related events involving text content,"8,600+ QA pairs on 3,000+ news videos",Both,News footage,T,Video,QA pairs,"we argue that textual information is complementary to the action and provides essential contextualisation cues to the reasoning process. To this end, we propose a novel VideoQA task that requires reading and understanding the text in the video."
Perception Test,https://github.com/google-deepmind/perception_test,https://proceedings.neurips.cc/paper_files/paper/2023/hash/8540fba4abdc7f9f7a7b1cc6cd60e409-Abstract-Datasets_and_Benchmarks.html,2023,QA,Reasoning-based events,11.6k real-world videos,Scripted,Dataset content,F,Video,"Multiple-choice + grounded QAs, object and point tracks, temporal actions, audio segments","We propose a novel multimodal video benchmark – the Perception Test – to evaluate the perception and reasoning skills of pre-trained multimodal models (e.g. Flamingo, SeViLA, or GPT-4). Compared to existing benchmarks that focus on computational tasks (e.g. classification, detection or tracking), the Perception Test focuses on skills (Memory, Abstraction, Physics, Semantics) and types of reasoning (descriptive, explanatory, predictive, counterfactual) across video, audio, and text modalities, to provide a comprehensive and efficient evaluation tool."
TextVR,https://github.com/callsys/TextVR/tree/main,https://arxiv.org/pdf/2305.03347.pdf,2023,Retrieval,"Street View (indoor), Street View (outdoor), Game, Sports, Driving, Activity, TV Show, and Cooking",42.2k sentence queries for 10.5k videos of 8 scenario domains,Both,Largely internet videos with heavy text content,T,Video,"Video queries, OCR content","Most existing cross-modal language-to-video retrieval (VR) research focuses on single-modal input from video, i.e., visual representation, while the text is omnipresent in human environments and frequently critical to understand video. To study how to retrieve video with both modal inputs, i.e., visual and text semantic representations, we firstly introduce a largescale and cross-modal Video Retrieval dataset with text reading comprehension, TextVR"
TVEE,_,https://link.springer.com/chapter/10.1007/978-3-031-30675-4_51,2023,Scene Parsing,"ACE2005 event schema, with three additional events: Contact.Speech, Disaster.Disaster and Accident.Accident.","7,598 text-video pairs",Both,International news footage,T,"Video, text","captions, triggers, event types, entities and argument roles (bounding boxes)","Event extraction aims to extract information of triggers and arguments from texts. Recent advanced methods leverage information from other modalities (e.g., images and videos) besides the texts to enhance event extraction. However, the different modalities are often misaligned at the event level, negatively impacting model performance. To address this issue, we firstly constructed a new multimodal event extraction benchmark Text Video Event Extraction (TVEE) dataset, containing 7,598 text-video pairs. The texts are automatically extracted from video captions, which are perfectly aligned to the video content in most cases."
VideoInstruct,https://mbzuai-oryx.github.io/Video-ChatGPT/,https://arxiv.org/pdf/2306.05424v1.pdf,2023,Instructions,Diverse coverage from spatial content to complex events,"100,000 video-instruction pairs",Unknown,Internet videos (ActivityNet subset),F,Video,"Captions, video-instruciton pairs","While there have been initial attempts for image-based conversation models, this work addresses the underexplored field of video-based conversation by introducing Video-ChatGPT. We introduce a new dataset of 100,000 video-instruction pairs used to train VideoChatGPT acquired via manual and semi-automated pipeline that is easily scalable and robust to label noise"
VEATIC,https://veatic.github.io/,https://openaccess.thecvf.com/content/WACV2024/html/Ren_VEATIC_Video-Based_Emotion_and_Affect_Tracking_in_Context_Dataset_WACV_2024_paper.html,2024,Emotion recognition,Emotions,124 video clips,Both,"Movies, documentaries, home videos",F,Video,Frame-by-frame valence/arousal labels,"Human affect recognition has been a significant topic in psychophysics and computer vision. However, the currently published datasets have many limitations. For example, most datasets contain frames that contain only information about facial expressions. Due to the limitations of previous datasets, it is very hard to either understand the mechanisms for affect recognition of humans or generalize well on common cases for computer vision models trained on those datasets. In this work, we introduce a brand new large dataset, the Video-based Emotion and Affect Tracking in Context Dataset (VEATIC), that can conquer the limitations of the previous datasets."
